wreck_id,obstruction_type,lat,lon,water_depth,original_date
72314,,48.37522,-4.50613,10,2008
80822,,48.3724,-4.51018,10,2013
85548,,48.37318,-4.50917,10,2016
85517,,48.37343,-4.50778,10,2016
62237,,48.39447,-4.49877,0,2003
80819,,48.37173,-4.51115,10,2013
85495,,48.39027,-4.49533,9,2016
25671,,48.37028,-4.5113,10,1996
80826,,48.3733,-4.50945,10,2013
25681,,48.37055,-4.51178,10,1995
80829,,48.37475,-4.50575,10,2013
85516,,48.375,-4.50448,11,2016
75996,,48.36825,-4.47387,15,2010
74391,,48.3654,-4.51138,10,2008
72396,,48.36877,-4.5093,13,2008
85559,foul ground,48.36693,-4.51662,9,2016
72520,,48.3649,-4.51315,11,2008
75995,,48.3714,-4.46187,14,2010
73846,,48.36487,-4.46292,5,2009
25665,,48.3818,-4.43008,2,1995
25670,,48.36757,-4.51543,8,1995
72311,,48.36632,-4.51133,11,2008
72398,,48.3675,-4.51155,13,2008
25611,,48.36905,-4.51297,9,1989
80817,,48.36867,-4.51378,9,2013
40016,,36.15233,33.57955,5,1965
74392,,48.36537,-4.51193,10,2008
78022,,48.36503,-4.51172,11,2011
25685,,48.36887,-4.51172,10,1995
72394,,48.36917,-4.50863,11,2008
72312,,48.36513,-4.51278,11,2008
75994,,48.36642,-4.45825,5,2010
72397,,48.36812,-4.5096,13,2008
72391,,48.37008,-4.50572,13,2008
82118,,36.02143,32.77635,20,2014
72310,,48.36607,-4.51272,13,2008
25691,,48.3675,-4.51618,8,1995
85358,,48.36477,-4.51237,11,2016
85550,,48.36763,-4.50938,12,2016
65331,,48.36767,-4.50878,11,2004
25698,foul ground,48.36703,-4.51632,9,1995
72399,,48.36737,-4.5103,12,2008
74393,,48.36427,-4.51252,10,2008
75987,,48.3623,-4.47322,10,2010
88055,,48.35953,-4.48205,13,2017
85729,,48.37857,-4.47688,10,2016
85727,,48.37833,-4.47803,7,2016
85740,,48.383,-4.4789,7,2016
85524,,48.37595,-4.4907,8,2016
85718,,48.38037,-4.48672,7,2016
85737,,48.38047,-4.47917,7,2016
72313,,48.3736,-4.50608,10,2008
85728,,48.37853,-4.47732,10,2016
74382,,48.37007,-4.50843,10,2008
74377,,48.37405,-4.50567,10,2008
85725,,48.37817,-4.47838,7,2016
85735,,48.37938,-4.47845,7,2016
74380,,48.37323,-4.50595,10,2008
72317,,48.37027,-4.50725,11,2008
85525,,48.37663,-4.49107,8,2016
81417,,48.37773,-4.4877,7,2014
85724,,48.37807,-4.47903,7,2016
5009,,54.79805,-8.6065,42,1998
3771,foul ground,55.16917,-6.75962,-1,1984
3769,,55.15388,-6.6935,-1,1983
3763,,55.99488,-6.78425,52,1975
3645,,55.38333,-6.6675,100,1973
71795,,54.58323,-8.50028,43,2008
3519,,55.58733,-7.98433,76,1917
3772,,55.18083,-6.76462,15,1984
3646,,55.38333,-6.81445,70,1976
3786,foul ground,55.24333,-6.70917,31,1986
3347,,55.37008,-8.69028,97,1940
3785,foul ground,55.26888,-6.70067,60,1986
1950,,57.0319,-6.7558,44,1988
69521,,55.61175,-8.15272,83,2005
3629,,55.24333,-6.74888,30,1959
4997,,54.63028,-8.44262,-1,1978
3374,,55.565,-8.20917,82,1939
3617,,55.60333,-7.88233,76,1914
3518,,55.58317,-7.901,70,1946
3530,,55.6415,-7.951,84,1946
3622,,55.1775,-6.8075,11,1947
5002,,54.98833,-8.49267,4,1968
2606,,56.95642,-7.42032,6,1982
3438,,55.00597,-8.47017,25,1981
3517,,55.58317,-7.951,74,1945
3376,,55.58317,-8.001,75,1917
3337,,55.14167,-8.476,50,1940
1888,,57.09862,-7.25923,9,1947
3354,,55.38598,-8.54843,96,1939
3516,,55.58317,-7.901,70,1946
66609,,54.63583,-8.44317,0,1966
3768,,55.15528,-6.71545,-1,1983
3421,,55.84677,-8.29178,155,1969
3520,,55.59708,-7.26433,55,1917
3546,,55.72067,-7.856,93,1940
3525,,55.619,-7.81905,75,1946
3534,,55.64705,-7.1635,52,1976
3607,,55.65983,-7.64962,63,1989
3533,,55.64987,-7.92597,92,1946
3615,,55.64645,-7.78808,71,1995
3551,,55.74983,-7.08433,48,1940
3550,,55.73345,-7.85433,90,1946
3531,,55.64205,-7.16238,50,1976
3541,,55.69233,-7.88933,92,1969
3537,,55.65483,-7.12712,49,1976
3549,,55.72567,-7.64712,63,1976
3536,,55.654,-7.20933,53,1976
3407,,55.77087,-8.18943,113,1918
3430,,55.9361,-8.16485,175,1940
69501,,55.75242,-7.7178,85,2005
3581,foul ground,55.6115,-7.63155,61,1980
3556,,55.80567,-7.48183,70,1917
3385,,55.66667,-8.16667,84,1940
3543,,55.70043,-7.31613,59,1976
3357,,55.47167,-8.26083,81,1944
3392,,55.71362,-8.3125,100,1969
3409,,55.79048,-8.18445,133,1969
3378,,55.69028,-8.2275,93,1914
69479,,55.87485,-8.27618,171,2005
69489,,55.7792,-8.25407,121,2005
3538,,55.66262,-7.13212,47,1976
3435,,55.97,-8.22917,170,1969
3488,,55.50667,-7.31167,50,1965
3390,,55.66862,-8.24305,92,1945
56214,,55.83333,-10.5,2300,1941
56338,,55.95,-10.13333,2150,1941
56185,,56.16667,-10.08333,2200,1945
56200,,56.0,-10.0,2200,1940
2573,,56.19472,-9.85612,1500,1984
56182,,56.33333,-10.0,500,1940
3436,,55.98667,-8.41917,168,1969
56184,,56.16667,-10.66667,2350,1940
3426,,55.9,-8.4175,150,1944
69484,,55.82327,-8.61302,120,2005
3424,,55.87583,-8.36417,158,1965
3557,,55.81203,-7.81137,129,1940
69472,,55.9729,-8.76272,132,2005
3308,,55.56667,-9.93333,1000,1946
56188,,56.13333,-10.11667,2000,1945
2575,,56.17528,-9.67362,1500,1984
69493,,55.76888,-7.8194,101,2005
56585,,55.96695,-10.00028,2100,1946
3568,,55.904,-7.99683,165,1969
3428,,55.9165,-8.08433,170,1939
3423,,55.86555,-8.38362,149,1969
69508,,55.72017,-8.61085,99,2005
3433,,55.95,-8.48417,128,1940
69492,,55.76957,-7.81738,101,2005
3555,,55.79993,-7.9008,135,1918
3437,,55.81667,-8.10083,140,1918
56584,,55.98305,-10.00028,2100,1946
55980,,56.31805,-10.37195,2000,1984
56213,,55.66667,-10.25,2300,1941
3310,,55.7,-9.96667,2100,1941
3331,,55.98333,-9.33417,657,1946
3479,,55.48327,-7.33765,53,1946
3604,,55.1957,-7.95,-1,1989
5006,,54.6,-8.4,5,1992
3514,,55.58333,-7.16667,48,1918
3467,,55.38333,-7.65083,48,1918
3475,,55.45028,-7.76917,57,1968
62313,,54.59817,-9.389,93,2003
3659,,55.47835,-6.92417,51,1976
3333,,55.3,-9.45083,105,1988
3480,,55.49333,-7.75917,60,1944
4995,,54.81667,-9.00067,82,1986
3398,,55.73567,-8.05933,98,1969
69475,,55.94813,-8.86537,132,2005
3663,,55.49,-6.84933,54,1966
2576,,56.29148,-8.18407,140,1940
3455,foul ground,55.09305,-7.52833,12,1966
3429,,55.9165,-8.08433,170,1940
3294,,55.20017,-9.50067,102,1940
69662,,55.95233,-8.84108,133,2005
3457,foul ground,55.09583,-7.52167,18,1966
66672,,55.37352,-7.81252,53,2005
3661,,55.48333,-6.96667,50,1944
3422,,55.85743,-8.96345,136,1945
3474,,55.45,-7.83417,60,1944
3411,,55.79983,-8.056,133,1940
4994,,54.58333,-9.334,90,1940
69497,,55.77468,-7.70882,96,2005
3456,foul ground,55.095,-7.52612,12,1966
3472,foul ground,55.43888,-7.75,54,1968
69490,,55.77163,-7.9324,109,2005
69618,,55.89338,-8.94848,136,2007
66671,,55.42192,-7.51588,51,2005
3464,foul ground,55.2575,-7.6057,12,1971
3404,,55.74778,-8.28917,104,1946
3461,,55.20083,-7.62112,-1,1966
3414,,55.80818,-8.58493,116,1945
3652,,55.4167,-6.88412,45,1945
3403,,55.74583,-8.3125,104,1946
69664,,55.38778,-7.99893,68,2005
3784,foul ground,55.28583,-6.78222,52,1986
3406,,55.73602,-8.5585,101,1946
3460,,55.15,-7.05555,13,1916
3463,,55.25555,-7.82083,25,1953
3453,,55.0471,-7.26223,-1,1976
70446,,55.3135,-7.338,1,2007
3765,,55.2275,-6.92795,1,1981
3458,,55.13862,-7.49222,12,1924
3625,,55.21667,-6.9375,0,1941
3605,,55.1945,-7.9542,-1,1989
3452,,55.02502,-7.2878,5,1941
3415,,55.81827,-8.52303,114,1946
69488,,55.80477,-8.41142,126,2005
3396,,55.73333,-8.35083,100,1946
3613,,55.17303,-7.05555,10,1993
3450,,55.00972,-7.30917,3,1943
69507,,55.73762,-8.48813,107,2005
3395,,55.73333,-8.3175,100,1945
3393,,55.73222,-8.28125,104,1946
3408,,55.78333,-8.50083,110,1946
3394,,55.73333,-8.30083,100,1946
3399,,55.73695,-8.39472,102,1969
3401,,55.74167,-8.41583,102,1969
3774,foul ground,55.18472,-6.83445,11,1985
3611,,55.39667,-7.30933,20,1918
65111,foul ground,54.99,-7.31833,6,1979
56198,,56.0,-14.5,1200,1940
3386,,55.66667,-8.40083,98,1946
56220,,55.46667,-15.16667,1500,1940
56191,,56.1,-13.55,2250,1940
56194,,56.28333,-14.2,1200,1940
56180,,55.66667,-13.66667,2600,1941
56228,,55.5,-13.28333,2750,1941
69517,,55.65262,-8.68068,92,2005
69481,,55.82593,-8.87928,127,2005
3327,,55.91667,-9.1675,185,1946
56224,,55.38333,-13.4,2780,1940
3779,,55.8443,-6.70122,52,1985
3372,,55.55,-8.45083,80,1946
69051,,55.57813,-8.40078,84,2007
